iter	RMSE
142	1177.899736
143	1177.274905
144	1176.464868
145	1175.622513
146	1174.804545
147	1174.247866
148	1173.003146
149	1172.574523
150	1172.303939
151	1171.947091
152	1171.476186
153	1171.012597
154	1169.480484
155	1168.546273
156	1168.056579
157	1166.107364
158	1165.34378
159	1165.047181
160	1164.764223
161	1164.389711
162	1163.68723
163	1161.903916
164	1160.966328
165	1160.169619
166	1158.817329
167	1157.859794
168	1157.43584
169	1156.737441
170	1156.081602
171	1155.17005
172	1154.65387
173	1154.279899
174	1153.890845
175	1153.630252
176	1152.452695
177	1151.8514
178	1151.317716
179	1151.107295
180	1150.145443
181	1149.425397
182	1148.430444
183	1148.261917
184	1147.568026
185	1147.219015
186	1146.839817
187	1146.169621
188	1145.415488
189	1144.947371
190	1144.437999
191	1143.614008
192	1143.018108
193	1141.924667
194	1141.597534
195	1141.36241
196	1141.007313
197	1140.4496
198	1139.470235
199	1137.986782
200	1137.301835
201	1137.073048
202	1136.532634
203	1135.068991
204	1134.659321
205	1134.252826
206	1133.884648
207	1133.681526
208	1133.275622
209	1132.782717
210	1131.586371
211	1131.340447
212	1130.651625
213	1129.984292
214	1129.335098
215	1128.920841
216	1127.66866
217	1126.966198
218	1125.976487
219	1125.839051
220	1125.436115
221	1124.418265
222	1123.584457
223	1123.056236
224	1122.724889
225	1122.022915
226	1121.58757
227	1121.330776
228	1121.063077
229	1120.716108
230	1120.515031
231	1119.747124
232	1119.064246
233	1118.427748
234	1117.588188
235	1116.68286
236	1116.090966
237	1115.903062
238	1115.708617
239	1115.176132
240	1114.748888
241	1114.5987
242	1113.986808
243	1113.323731
244	1112.585317
245	1111.834634
246	1111.267179
247	1110.622243
248	1110.338063
249	1109.68698
250	1109.157987
251	1108.94888
252	1107.555518
253	1107.323622
254	1106.877579
255	1106.684084
256	1106.445207
257	1106.243453
258	1106.084497
259	1105.836956
260	1105.25081
261	1104.562929
262	1104.045006
263	1103.546636
264	1102.916502
265	1102.502486
266	1102.333578
267	1101.451888
268	1100.96686
269	1100.379539
270	1099.800875
271	1099.636991
272	1099.185408
273	1098.549503
274	1098.206686
275	1097.732099
276	1097.368613
277	1097.016568
278	1096.523653
279	1096.154541
280	1095.871374
281	1095.571001
282	1095.171792
283	1094.896815
284	1094.386904
285	1094.056538
286	1093.827371
287	1093.592412
288	1093.091887
289	1092.429592
290	1091.906861
291	1091.20143
292	1090.967118
293	1090.335784
294	1089.894347
295	1089.702687
296	1089.354444
297	1088.893579
298	1087.771045
299	1087.590461
300	1087.308613
301	1086.930742
302	1086.453383
303	1085.993843
304	1085.545975
305	1085.309091
306	1085.178269
307	1084.54489
308	1084.232276
309	1083.94203
310	1083.781744
311	1083.133176
312	1082.613154
313	1082.189162
314	1081.764267
315	1081.502182
316	1081.001971
317	1080.756147
318	1080.294663
319	1080.08045
320	1079.880325
321	1078.961105
322	1078.645104
323	1078.203183
324	1077.909932
325	1077.73343
326	1077.424398
327	1077.084341
328	1076.921809
329	1076.359051
330	1075.86964
331	1075.585792
332	1075.450576
333	1075.315474
334	1075.185132
335	1074.880252
336	1074.348077
337	1074.191325
338	1073.829081
339	1073.355889
340	1072.954146
341	1072.75971
342	1072.580675
343	1072.399509
344	1072.142274
345	1072.001092
346	1071.792373
347	1071.64546
348	1071.507776
349	1071.359639
350	1071.219059
351	1071.057903
352	1070.743381
353	1070.502769
354	1070.105249
355	1069.782071
356	1069.445383
357	1068.978458
358	1068.630718
359	1068.219669
360	1067.979766
361	1067.661181
362	1067.294025
363	1067.073442
364	1066.580802
365	1066.396316
366	1066.247045
367	1065.87921
368	1065.628735
369	1065.459183
370	1065.31362
371	1065.230188
372	1064.63519
373	1063.736105
374	1063.60924
375	1063.370512
376	1062.965973
377	1062.583645
378	1062.335843
379	1062.048218
380	1061.898212
381	1061.57612
382	1061.119673
383	1060.477604
384	1060.250609
385	1059.974925
386	1059.863161
387	1059.663574
388	1059.461519
389	1059.209978
390	1058.929394
391	1058.692329
392	1058.54149
393	1058.122922
394	1057.939844
395	1057.766099
396	1057.330532
397	1056.916177
398	1056.571415
399	1056.394778
400	1056.098516
401	1055.992757
402	1055.85555
403	1055.750923
404	1055.399491
405	1055.254696
406	1055.024502
407	1054.895115
408	1054.772706
409	1054.621937
410	1054.411868
411	1054.08472
412	1053.50661
413	1053.300007
414	1053.165873
415	1053.015591
416	1052.661844
417	1052.356538
418	1052.221914
419	1052.087785
420	1051.816044
421	1051.549864
422	1051.114121
423	1050.965976
424	1050.822934
425	1050.637573
426	1050.482652
427	1050.319613
428	1049.827343
429	1049.712032
430	1049.626525
431	1049.315844
432	1048.885022
433	1048.414438
434	1048.181716
435	1048.092959
436	1048.007056
437	1047.720144
438	1047.555603
439	1047.135979
440	1046.778172
441	1046.436696
442	1046.174441
443	1045.576568
444	1045.362706
445	1045.206342
446	1045.110265
447	1044.920992
448	1044.802696
449	1044.610595
450	1044.387239
451	1044.204648
452	1043.981941
453	1043.68485
454	1043.55566
455	1043.328763
456	1042.662979
457	1042.330906
458	1042.122659
459	1041.995001
460	1041.786162
461	1041.569679
462	1041.347522
463	1041.079074
464	1040.658823
465	1040.535355
466	1040.399507
467	1040.343535
468	1040.232044
469	1040.07873
470	1039.936399
471	1039.811297
472	1039.692281
473	1039.546609
474	1039.396593
475	1039.311701
476	1039.208849
477	1039.009669
478	1038.940827
479	1038.590183
480	1038.390819
481	1037.937769
482	1037.72617
483	1037.613723
484	1037.383092
485	1036.946229
486	1036.838504
487	1036.594231
488	1036.397241
489	1036.071161
490	1035.697637
491	1035.480265
492	1035.174341
493	1034.941599
494	1034.228162
495	1033.941087
496	1033.776078
497	1033.697551
498	1033.58388
499	1033.290335
500	1033.139905
501	1033.044282
502	1032.77254
503	1032.298781
504	1032.159672
505	1032.076683
506	1031.953338
507	1031.692397
508	1031.511205
509	1031.461365
510	1031.35831
511	1031.188607
512	1030.851107
513	1030.789393
514	1030.574789
515	1030.316112
516	1030.100692
517	1029.730283
518	1029.395979
519	1028.937624
520	1028.858174
521	1028.73573
522	1028.450514
523	1028.169318
524	1027.932131
525	1027.827978
526	1027.586107
527	1027.310469
528	1027.193143
529	1026.799997
530	1026.636848
531	1026.228625
532	1026.048329
533	1025.87819
534	1025.689318
535	1025.61241
536	1025.200196
537	1025.022227
538	1024.825056
539	1024.435053
540	1024.28839
541	1023.977201
542	1023.895525
543	1023.64394
544	1023.381105
545	1023.290236
546	1023.058759
547	1022.964264
548	1022.736008
549	1022.591563
550	1022.526704
551	1022.451694
552	1022.206843
553	1022.001249
554	1021.846204
555	1021.750508
556	1021.580541
557	1021.315504
558	1021.247404
559	1021.169655
560	1020.942829
561	1020.62329
562	1020.557035
563	1020.43008
564	1020.255461
565	1020.082016
566	1019.957773
567	1019.650222
568	1019.356003
569	1019.103185
570	1019.006668
571	1018.715989
572	1018.608082
573	1018.226469
574	1018.003883
575	1017.779373
576	1017.525169
577	1017.282589
578	1017.162466
579	1016.943919
580	1016.706077
581	1016.470676
582	1016.373698
583	1016.14311
584	1015.972767
585	1015.858602
586	1015.681106
587	1015.39881
588	1015.26894
589	1015.020818
590	1014.892343
591	1014.657535
592	1014.494622
593	1014.133581
594	1013.870035
595	1013.801669
596	1013.588019
597	1013.466982
598	1013.315598
599	1013.175435
600	1013.11635
601	1012.957289
602	1012.901095
603	1012.75291
604	1012.617128
605	1012.454576
606	1012.354925
607	1012.201078
608	1012.014804
609	1011.807009
610	1011.658131
611	1011.031831
612	1010.928543
613	1010.855787
614	1010.702999
615	1010.543848
616	1010.459568
617	1010.347945
618	1010.169027
619	1009.999962
620	1009.868121
621	1009.81495
622	1009.73236
623	1009.600316
624	1009.518055
625	1009.340609
626	1009.130403
627	1008.990493
628	1008.87523
629	1008.805511
630	1008.643929
631	1008.405446
632	1008.303489
633	1008.071134
634	1007.958672
635	1007.48553
636	1007.177532
637	1007.116565
638	1007.015514
639	1006.803034
640	1006.370519
641	1006.089584
642	1005.823854
643	1005.685519
644	1005.536915
645	1005.378597
646	1005.190312
647	1004.932806
648	1004.832893
649	1004.482796
650	1004.276075
651	1003.883385
652	1003.489559
653	1003.418341
654	1003.334513
655	1003.075218
656	1003.00841
657	1002.729523
658	1002.497243
659	1002.30975
660	1002.202175
661	1002.037072
662	1001.925386
663	1001.845717
664	1001.722941
665	1001.658937
666	1001.601186
667	1001.463977
668	1001.379862
669	1001.29153
670	1001.120894
671	1000.859657
672	1000.701921
673	1000.61533
674	1000.564104
675	1000.32885
676	1000.260314
677	1000.161929
678	1000.095229
679	1000.002358
680	999.8728417
681	999.7783312
682	999.7355263
683	999.461702
684	999.317071
685	999.0935878
686	998.9933051
687	998.9032577
688	998.8235853
689	998.7663233
690	998.6929916
691	998.6148982
692	998.4380026
693	998.2498532
694	998.173617
695	998.0584748
696	997.7697783
697	997.6042338
698	997.3476294
699	997.1202059
700	996.9914275
701	996.8444169
702	996.7904691
703	996.6281928
704	996.3676618
705	996.2304229
706	996.1627091
707	996.0224009
708	995.8898955
709	995.6656898
710	995.5633353
711	995.4750065
712	995.2559645
713	995.1904355
714	995.0178691
715	994.8965354
716	994.7271006
717	994.6337561
718	994.5764447
719	994.5305205
720	994.4913669
721	994.4049761
722	994.310452
723	994.0829104
724	993.8838412
725	993.8102927
726	993.7213717
727	993.6603073
728	993.605493
729	993.5550381
730	993.4113817
731	993.2269209
732	993.1360801
733	993.0827567
734	992.9887056
735	992.8179521
736	992.7653115
737	992.6149523
738	992.4239595
739	992.311993
740	992.2542526
741	992.1407372
742	991.9573906
743	991.8831597
744	991.8074
745	991.7473197
746	991.6434847
747	991.4359719
748	991.3583906
749	991.2064396
750	990.9014693
751	990.8577558
752	990.613357
753	990.5524956
754	990.3874282
755	990.1651186
756	990.1229844
757	989.9765053
758	989.8458639
759	989.7678739
760	989.643082
761	989.4469369
762	989.2513303
763	989.1065123
764	988.9903396
765	988.8760635
766	988.7819975
767	988.6325176
768	988.365865
769	988.2891423
770	988.2268983
771	988.0722041
772	987.9950277
773	987.933319
774	987.8654908
775	987.8101785
776	987.7659447
777	987.699439
778	987.5239521
779	987.3100537
780	987.102452
781	986.9895496
782	986.9059903
783	986.8176476
784	986.6539219
785	986.4847535
786	986.3055143
787	986.1665906
788	986.0499145
789	985.9460222
790	985.5037644
791	985.2566906
792	985.1310844
793	984.9680926
794	984.8335714
795	984.7099924
796	984.5598379
797	984.4697368
798	984.3577477
799	984.3043567
800	984.1563684
801	984.1005183
802	983.8950532
803	983.7852283
804	983.6876504
805	983.5627267
806	983.430986
807	983.3082031
808	983.0721629
809	983.005976
810	982.9214545
811	982.8703865
812	982.8099168
813	982.7216003
814	982.6482047
815	982.5526852
816	982.4667784
817	982.3854112
818	982.1992485
819	982.1623626
820	982.0576294
821	981.8793305
822	981.817448
823	981.7565209
824	981.6598576
825	981.1320991
826	981.0860059
827	980.9817304
828	980.8888447
829	980.7870328
830	980.6731466
831	980.616837
832	980.5119889
833	980.3739242
834	980.2641498
835	980.1255149
836	980.0540567
837	979.9779646
838	979.9364107
839	979.8427497
840	979.66781
841	979.5459741
842	979.4453639
843	979.2024907
844	979.0174074
845	978.8353467
846	978.7480172
847	978.71145
848	978.650616
849	978.5585038
850	978.4699203
851	978.4343405
852	978.2915573
853	978.2408109
854	978.0652995
855	977.9791921
856	977.9053212
857	977.8260693
858	977.7714397
859	977.5693871
860	977.5157856
861	977.3426975
862	977.2885603
863	977.1279552
864	977.0197806
865	976.8780294
866	976.7455038
867	976.6638862
868	976.537292
869	976.4878283
870	976.2381937
871	976.011842
872	975.8900026
873	975.7697076
874	975.6809531
875	975.5810784
876	975.4737268
877	975.3859279
878	975.3324148
879	975.1674792
880	975.1160361
881	974.9435712
882	974.8693266
883	974.6859348
884	974.549821
885	974.4226491
886	974.335608
887	974.1473513
888	973.9252393
889	973.8727265
890	973.7114803
891	973.5880618
892	973.348303
893	973.2708128
894	973.1558678
895	973.1030602
896	973.0376614
897	972.879638
898	972.7109997
899	972.6054907
900	972.559354
901	972.5123373
902	972.4025046
903	972.3508297
904	972.2589604
905	972.1288026
906	972.0382019
907	972.0007315
908	971.9567516
909	971.8879403
910	971.847848
911	971.7772146
912	971.6727769
913	971.6086566
914	971.5269904
915	971.4427263
916	971.308998
917	971.1776757
918	971.1133537
919	971.0280874
920	970.9182314
921	970.834102
922	970.689314
923	970.5451075
924	970.3742387
925	970.3420293
926	970.1945234
927	970.1593769
928	970.0025167
929	969.9376909
930	969.8256251
931	969.7058059
932	969.6078679
933	969.3624857
934	969.2972839
935	969.2566991
936	969.2171251
937	969.1735868
938	969.1143331
939	969.0270358
940	968.9447072
941	968.6543012
942	968.5712629
943	968.4270588
944	968.3361931
945	968.2777892
946	968.2383667
947	968.1734377
948	967.9935329
949	967.6900277
950	967.5475128
951	967.4566693
952	967.3309627
953	967.2641913
954	967.1958449
955	967.0785234
956	967.0076033
957	966.8396978
958	966.6875023
959	966.649256
960	966.4512985
961	966.3389102
962	966.1008595
963	965.9546056
964	965.8373465
965	965.8104966
966	965.7358124
967	965.6351465
968	965.3900027
969	965.3085119
970	965.2035622
971	965.1735443
972	965.0135995
973	964.907454
974	964.7182212
975	964.6647409
976	964.6148041
977	964.4728403
978	964.4388735
979	964.3592758
980	964.2953373
981	964.2593576
982	964.1819317
983	964.1450132
984	964.104943
985	963.9940613
986	963.7902645
987	963.6869197
988	963.5524444
989	963.4324332
990	963.3878987
991	963.2616854
992	963.2340675
993	963.1970132
994	963.1457426
995	963.0784893
996	963.0239414
997	962.9265328
998	962.8585954
999	962.7683368
